iter	Passed	Remaining
0	3	3841
1	8	3996
2	11	3802
3	16	4009
4	19	3845
5	22	3769
6	27	3850
7	30	3762
8	34	3835
9	38	3796
10	42	3820
11	45	3769
12	50	3871
13	54	3829
14	57	3802
15	62	3854
16	66	3853
17	71	3901
18	74	3865
19	78	3868
20	82	3851
21	86	3839
22	91	3880
23	100	4099
24	104	4088
25	108	4056
26	112	4061
27	115	4025
28	119	3996
29	122	3965
30	126	3939
31	129	3914
32	132	3891
33	136	3869
34	140	3860
35	143	3840
36	146	3825
37	150	3809
38	154	3795
39	157	3776
40	160	3753
41	164	3747
42	167	3732
43	171	3721
44	174	3703
45	177	3687
46	181	3671
47	184	3656
48	187	3643
49	191	3632
50	194	3620
51	197	3606
52	201	3593
53	204	3579
54	207	3569
55	210	3555
56	214	3544
57	217	3537
58	221	3528
59	224	3520
60	228	3510
61	231	3499
62	234	3491
63	238	3494
64	242	3484
65	245	3477
66	249	3467
67	252	3457
68	256	3458
69	259	3451
70	263	3443
71	266	3433
72	269	3423
73	272	3413
74	275	3403
75	279	3394
76	282	3388
77	286	3381
78	289	3374
79	292	3366
80	295	3354
81	299	3347
82	302	3339
83	304	3325
84	308	3318
85	311	3312
86	314	3305
87	318	3297
88	321	3288
89	324	3282
90	328	3276
91	331	3272
92	334	3266
93	338	3260
94	341	3253
95	344	3247
96	348	3242
97	352	3241
98	355	3239
99	359	3235
100	362	3227
101	365	3220
102	369	3214
103	372	3207
104	375	3200
105	378	3195
106	382	3188
107	385	3181
108	388	3174
109	391	3166
110	394	3159
111	397	3153
112	400	3146
113	404	3140
114	409	3152
115	412	3146
116	416	3141
117	419	3135
118	422	3129
119	425	3123
120	429	3118
121	432	3112
122	435	3107
123	439	3102
124	442	3098
125	445	3091
126	448	3086
127	452	3081
128	455	3078
129	459	3072
130	462	3066
131	465	3060
132	468	3055
133	471	3050
134	475	3045
135	478	3041
136	481	3035
137	485	3030
138	488	3024
139	491	3018
140	494	3014
141	497	3008
142	501	3003
143	504	2998
144	507	2992
145	510	2987
146	514	2983
147	517	2980
148	520	2974
149	524	2970
150	527	2966
151	531	2965
152	535	2962
153	538	2957
154	541	2953
155	545	2949
156	548	2945
157	552	2941
158	555	2940
159	559	2935
160	562	2930
161	565	2925
162	569	2921
163	572	2917
164	575	2912
165	578	2907
166	582	2904
167	585	2900
168	589	2896
169	592	2892
170	596	2891
171	599	2887
172	603	2882
173	606	2877
174	609	2874
175	613	2871
176	616	2867
177	619	2863
178	623	2859
179	626	2855
180	630	2851
181	633	2847
182	637	2844
183	640	2840
184	643	2835
185	646	2831
186	650	2827
187	654	2824
188	657	2820
189	660	2815
190	663	2811
191	666	2806
192	670	2803
193	674	2801
194	677	2797
195	681	2796
196	684	2792
197	688	2787
198	691	2782
